rank,total_deposits,bank_name,latitude,longitude
1,2601221000000.0,JPMorgan Chase Bank,37.2917504,-122.031897
2,2071624000000.0,Bank of America,51.5162146,-0.1000942
3,1419560000000.0,Wells Fargo Bank,40.0364923,-75.1293046
4,1361654000000.0,Citibank,0.421434,9.4290632
5,523102129000.0,U.S. Bank,47.8162218,-110.6692107
6,429504882000.0,PNC Bank,40.3911599,-74.7564792
7,413781000000.0,Truist Bank,39.2614813,-76.6943689
8,407086000000.0,Goldman Sachs Bank USA,,
9,388747598000.0,Capital One,33.1519177,-96.8041158
10,310780000000.0,The Bank of New York Mellon,51.5125419,-0.1024562
11,295363367000.0,TD Bank,42.0648588,-71.3298192
12,277920000000.0,State Street Bank and Trust Company,43.3179662,-73.8414057
13,219880000000.0,"Charles Schwab Bank, SSB",,
14,203572000000.0,Morgan Stanley Private Bank,,
15,202571778000.0,BMO Bank,51.1304872,-114.0093721
16,187089000000.0,Morgan Stanley Bank,51.5033714,-0.0222627
17,181419006000.0,Citizens Bank,40.619286,-74.0325034
18,169558883000.0,The Huntington National Bank,39.0993673,-84.5143981
19,169294179000.0,Manufacturers and Traders Trust Company,,
20,169032000000.0,Fifth Third Bank,39.1677626,-84.4098085
21,160110000000.0,First-Citizens Bank & Trust Company,37.3345869,-121.891095
22,158851165000.0,American Express National Bank,,
23,155773280000.0,KeyBank,42.596346,-73.7066698
24,155287000000.0,Ally Bank,,
25,139393219000.0,HSBC Bank USA,40.7294667,-73.8629501
26,133476663000.0,The Northern Trust Company,,
27,132993000000.0,Regions Bank,33.7869434,-84.3883151
28,114276909000.0,Discover Bank,38.8056603,-75.5844987
29,97879104000.0,UBS Bank USA,33.0239756,-117.0774284
30,97291000000.0,USAA Federal Savings Bank,29.5410483,-98.5754255
31,86092000000.0,Synchrony Bank,,
32,80783937000.0,"Santander Bank, N.A.",,
33,76488039000.0,City National Bank,29.3052694,-94.7933371
34,76011070000.0,"Zions Bancorporation, N.A.",,
35,74441023000.0,Flagstar Bank,40.6006836,-73.9422175
36,69721272000.0,Western Alliance Bank,,
37,65844242000.0,Webster Bank,40.7641366,-73.9163445
38,65207996000.0,First Horizon Bank,25.6815595,-80.3151479
39,63156194000.0,East West Bank,40.7615532,-73.8268418
40,63003000000.0,Comerica Bank,32.7815307,-96.7965044
41,58142921000.0,UMB Bank,38.6251326,-90.1897723
42,54706000000.0,Banco Popular de Puerto Rico,40.587099,-73.9523689
43,53444278000.0,SouthState Bank,33.7739744,-84.3875172
44,51540313000.0,Synovus Bank,30.7844064,-86.5588962
45,50173859000.0,Valley National Bank,40.7421084,-73.6964379
46,48857202000.0,CIBC Bank USA,41.8388212,-87.7051715
47,44735690000.0,Pinnacle Bank,36.0776221,-86.9497436
48,43584351000.0,"STANDARD CHARTERED BANK, PLC",,
49,42861521000.0,Frost Bank,29.7380305,-95.5015798
50,42291904000.0,Umpqua Bank,47.2877727,-122.3138697
51,41333273000.0,Old National Bank,41.9515248,-88.7255998
52,40335728000.0,Cadence Bank,29.7420879,-95.4412621
53,38660790000.0,BOKF,,
54,38155227000.0,First National Bank of Pennsylvania,40.4394921,-80.0009447
55,37925051000.0,Raymond James Bank,,
56,35721000000.0,Barclays Bank Delaware,39.7377889,-75.5579793
57,35229355000.0,Associated Bank,41.9759114,-87.7689214
58,31925666000.0,Bank OZK,34.2891597,-85.1505052
59,30811669000.0,EverBank,25.7513497,-80.2552329
60,29472691000.0,Hancock Whitney Bank,30.2166412,-81.5156123
61,28520672000.0,BankUnited,25.8091025,-80.3265967
62,28325155000.0,TD Bank USA,42.0648588,-71.3298192
63,28320731000.0,Prosperity Bank,29.738022,-95.5079263
64,27706000000.0,Deutsche Bank Trust Company Americas,,
65,27517035000.0,Banc of California,34.0616915,-118.4144964
66,27382942000.0,SoFi Bank,30.5438964,49.1699656
67,26592282000.0,United Bank,38.351157,-81.6378371
68,26559632000.0,Texas Capital Bank,32.7531869,-97.3326426
69,26482475000.0,Fulton Bank,40.7362336,-73.9937306
70,26196760000.0,Commerce Bank,38.6276779,-90.1894157
71,26148420000.0,First National Bank of Omaha,41.2348346,-96.1210023
72,25327000000.0,BNY Mellon,51.5125419,-0.1024562
73,24326470000.0,MidFirst Bank,33.6080501,-112.0647141
74,24241174000.0,United Community Bank,3.1892015,101.7311394
75,23977132000.0,Arvest Bank,39.0690777,-94.5525363
76,23836506000.0,FirstBank,44.3829661,26.1320409
77,22991983000.0,First Interstate Bank,41.2133715,-96.1117154
78,22876000000.0,"Charles Schwab Premier Bank, SSB",,
79,22672002000.0,"Ameriprise Bank, FSB",,
80,22015816000.0,Ameris Bank,33.7620248,-84.3878303
81,21966925000.0,City National Bank of Florida,25.7743659,-80.1942957
82,21959209000.0,Simmons Bank,51.5132639,-0.0862317
83,21588301000.0,Washington Federal Bank,47.5196392,-122.266537
84,21437798000.0,"WesBanco Bank, Inc.",,
85,21112221000.0,Bank of Hawaii,21.3087776,-157.862083
86,20970665000.0,Eastern Bank,42.363486,-71.054636
87,20810915000.0,Glacier Bank,45.9952811,-112.5131631
88,20561746000.0,Atlantic Union Bank,37.5355275,-77.4359431
89,20426390000.0,Sallie Mae Bank,,
90,20330952000.0,Axos Bank,,
91,20230264000.0,First Hawaiian Bank,21.9546345,-159.6665048
92,19838783000.0,Cathay Bank,40.6166133,-73.9929439
93,19133891000.0,Customers Bank,39.9762188,-75.1570941
94,18974002000.0,TriState Capital Bank,,
95,18519274000.0,Provident Bank,40.7219986,-74.1500207
96,18505243000.0,Bank of China,22.4135377,113.9828786
97,18097184000.0,Centennial Bank,28.3633188,-81.2437637
98,17901748000.0,Stifel Bank and Trust,,
99,17132859000.0,"Wilmington Savings Fund Society, FSB",,
100,16874463000.0,FirstBank Puerto Rico,18.4274026,-66.0638477
101,15908572000.0,Rockland Trust Company,42.5304122,-71.2055224
102,15478780000.0,The Central Trust Bank,0.3126002,32.5744281
103,15175012000.0,Trustmark National Bank,33.519281,-90.1795017
104,15174200000.0,Renasant Bank,36.1526903,-86.7974395
105,14996000000.0,"Optum Bank, Inc.",,
106,14874335000.0,Apple Bank,40.6830243,-73.9957782
107,14760571000.0,TowneBank,35.2079459,-80.8248403
108,14721298000.0,Pacific Premier Bank,34.0543291,-118.4641817
109,14514368000.0,Bank of Hope,40.7440211,-73.9145977
110,14508219000.0,First Merchants Bank,-15.7854413,35.0069921
111,14452961000.0,ServisFirst Bank,,
112,14436329000.0,First Financial Bank,39.1391976,-84.4431146
113,14085584000.0,Community Bank,43.4769365,-75.3198885
114,13990207000.0,Mechanics Bank,37.7938704,-122.4014681
115,13677444000.0,Banner Bank,47.6133833,-122.3157512
116,13321160000.0,Bremer Bank,44.9001758,-91.9315714
117,13313000000.0,Bank of America California,34.0536175,-118.2532727
118,13161765000.0,Enterprise Bank & Trust,33.6209387,-111.8929747
119,12749471000.0,State Bank of India,8.5386859,77.0212491
120,12679006000.0,Bell Bank,54.0720836,-2.0327687
121,12598483000.0,First United Bank and Trust Company,37.7482756,-87.1136571
122,12581505000.0,Seacoast National Bank,27.4290859,-80.326377
123,12576712000.0,First Financial Bank,39.1391976,-84.4431146
124,12506747000.0,Northwest Bank,45.918411,-80.9270609
125,12468176000.0,Merchants Bank of Indiana,39.9263799,-86.1027174
126,12445573000.0,Live Oak Banking Company,,
127,12039174000.0,Citizens Business Bank,34.16043,-118.2546718
128,11952885000.0,Popular Bank,40.6478954,-74.0076321
129,11938584000.0,NBT Bank,42.6490557,-73.7518459
130,11758189000.0,Israel Discount Bank of New York,,
131,11693991000.0,Dime Community Bank,40.8303119,-73.6843116
132,11322359000.0,Sandy Spring Bank,38.9034018,-77.0210302
133,11235086000.0,FirstBank,44.3829661,26.1320409
134,10933941000.0,PlainsCapital Bank,29.7398317,-95.4183489
135,10770712000.0,First Bank,44.9405611,26.025349
136,10767104000.0,Bank Name Not Available,,
137,10696190000.0,Veritex Community Bank,29.7300625,-95.4131697
138,10649229000.0,Stifel Bank,38.6299094,-90.1888435
139,10602877000.0,NexBank,,
140,10512762000.0,Third Federal Savings and Loan Association of Cleveland,,
141,10388313000.0,BancFirst,36.0142881,-95.8857861
142,10309166000.0,OceanFirst Bank,39.9575351,-74.3885023
143,10028931000.0,Berkshire Bank,40.6342538,-73.993151
144,10024728000.0,Busey Bank,38.5884946,-90.2442065
145,9950424000.0,First Commonwealth Bank,32.8400325,-117.2739982
146,9942092000.0,Comenity Capital Bank,,
147,9934489000.0,Oriental Bank,3.1450321,101.6971096
148,9826174000.0,"Dollar Bank, Federal Savings Bank",,
149,9591386000.0,First Foundation Bank,37.8081306,-122.2658556
150,9419824000.0,Safra National Bank of New York,40.7556259,-73.9795491
151,9291538000.0,EagleBank,38.9016826,-77.040359
152,9200030000.0,"BANCO BILBAO VIZCAYA, S.A.",19.5146314,-99.1349864
153,9018229000.0,LendingClub Bank,,
154,9004509000.0,Charles Schwab Trust Bank,,
155,8914506000.0,Beal Bank USA,27.964754,-82.512482
156,8714124000.0,Washington Trust Bank,43.6686553,-116.28039
157,8696628000.0,Farmers and Merchants Bank of Long Beach,,
158,8679032000.0,Bank of Baroda,51.5832676,-0.3142343
159,8603944000.0,Stellar Bank,29.731283,-95.418191
160,8545676000.0,NBH Bank,38.9817531,-112.3232223
161,8513074000.0,Amarillo National Bank,35.202689,-101.8360985
162,8493134000.0,The Park National Bank,,
163,8419160000.0,Wells Fargo National Bank West,,
164,8402764000.0,Origin Bank,29.752754,-95.4103188
165,8374080000.0,The Bancorp Bank,35.9161464,-88.755219
166,8356958000.0,Wintrust Bank,41.9113378,-87.6322319
167,8332439000.0,Woodforest National Bank,29.7151076,-95.316849
168,8253380000.0,Columbia Bank,47.6695851,-122.385331
169,8241155000.0,Amerant Bank,25.7975579,-80.3376247
170,8239631000.0,"American Savings Bank, FSB",,
171,8212813000.0,Principal Bank,53.9588311,-1.0921992
172,8211270000.0,Tri Counties Bank,37.744436,-122.4530137
173,8074760000.0,BMW Bank of North America,,
174,7935139000.0,S&T Bank,40.0345879,-75.2162298
175,7805107000.0,ConnectOne Bank,40.7599997,-73.9205768
176,7778728000.0,Flushing Bank,40.7371753,-73.9882851
177,7774853000.0,Peoples Bank,41.7272005,-87.5514381
178,7729854000.0,Nicolet National Bank,44.4839623,-87.9185581
179,7600225000.0,Toyota Financial Savings Bank,,
180,7584919000.0,Byline Bank,42.0122402,-87.7093399
181,7527967000.0,Centier Bank,39.8690377,-86.0973785
182,7456463000.0,Amalgamated Bank,40.7596796,-73.937487
183,7442509000.0,Pinnacle Bank,36.0776221,-86.9497436
184,7418267000.0,1st Source Bank,41.1093433,-85.1154626
185,7406232000.0,Union Bank and Trust Company,40.6844946,-76.1948316
186,7295098000.0,Stock Yards Bank & Trust Company,,
187,7192623000.0,German American Bank,39.1641277,-86.5162912
188,7035981000.0,Bank Hapoalim B.M.,32.1678588,34.8431793
189,6980349000.0,Sunflower Bank,33.467295,-112.2674576
190,6971341000.0,Merrick Bank,,
191,6908488000.0,BankPlus,33.7472214,-90.7208036
192,6807136000.0,Lake Forest Bank & Trust Company,32.9094719,-96.7010454
193,6791460000.0,Tompkins Community Bank,40.0733279,-75.0759364
194,6786553000.0,Univest Bank and Trust Co.,40.1097432,-74.9520428
195,6709753000.0,Liberty Bank,41.9244199,-87.7004267
196,6626112000.0,Hanmi Bank,34.2017643,-118.447216
197,6621941000.0,Southside Bank,32.7320701,-97.3636185
198,6617174000.0,Central Pacific Bank,21.2827946,-157.8141892
199,6566935000.0,International Bank of Commerce,29.6883964,-95.5869734
200,6564584000.0,Cross River Bank,,
201,6549627000.0,Burke & Herbert Bank & Trust Company,,
202,6533737000.0,First Security Bank,35.2519554,-91.7370084
203,6526140000.0,Metropolitan Commercial Bank,40.7563918,-73.9802081
204,6513746000.0,CrossFirst Bank,38.8831779,-94.6403193
205,6478568000.0,Intrust Bank,37.6932858,-97.2961872
206,6474772000.0,Capitol Federal Savings Bank,39.0496522,-94.586806
207,6471608000.0,b1BANK,32.5308781,-92.6375784
208,6466366000.0,"The First,  A   National Banking Association",,
209,6336301000.0,Bank of Colorado,39.7449791,-104.987698
210,6304598000.0,Peapack Private Bank & Trust,,
211,6257640000.0,"First American Trust, FSB",,
212,6188196000.0,First Mid Bank & Trust,40.1185276,-88.2442636
213,6181793000.0,Bangor Savings Bank,43.6607926,-70.2675199
214,6142378000.0,Mizuho Bank (USA),35.7438034,-77.9628985
215,6106400000.0,HomeStreet Bank,34.2249727,-118.4491832
216,6078374000.0,Preferred Bank,40.7562843,-73.8288479
217,6032420000.0,"RBC Bank, (Georgia)",49.2836188,-123.119488
218,5968861000.0,Alpine Bank,39.747663,-104.8780539
219,5963532000.0,Lake City Bank,39.9276929,-86.1592357
220,5942621000.0,Midland States Bank,42.2696496,-88.9831822
221,5870475000.0,First Bank,44.9405611,26.025349
222,5849495000.0,Heritage Bank,17.2458462,-89.0023818
223,5846175000.0,Horizon Bank,30.2690818,-97.7490349
224,5829220000.0,Ocean Bank,25.7965532,-80.320387
225,5827429000.0,Forbright Bank,39.0489367,-77.1185965
226,5822039000.0,Pathward,42.3524715,-71.1255496
227,5774644000.0,Ridgewood Savings Bank,40.7311628,-73.8874552
228,5737943000.0,Kearny Bank,40.6681402,-73.9873705
229,5720907000.0,Bankers Trust Company,40.7076337,-74.010757
230,5669983000.0,Poppy Bank,37.3351735,-121.892284
231,5658891000.0,WEX Bank,,
232,5653184000.0,Bank of India,51.5524148,-0.2850211
233,5641218000.0,Salem Five Cents Savings Bank,,
234,5632856000.0,The Camden National Bank,,
235,5629458000.0,Stockman Bank of Montana,46.8730312,-113.9981814
236,5562685000.0,CNB Bank,39.7167592,-90.2486349
237,5512608000.0,"United Fidelity Bank, fsb",,
238,5496683000.0,TrustCo Bank,42.8194503,-73.7740702
239,5494172000.0,MidWestOne Bank,44.9612056,-93.2928553
240,5486108000.0,Cambridge Savings Bank,42.3731973,-71.1190058
241,5465024000.0,Shore United Bank,38.979963,-76.5261182
242,5463852000.0,Republic Bank & Trust Company,41.9311599,-87.78614
243,5423774000.0,Five Star Bank,42.8900795,-78.8739198
244,5423332000.0,SMBC MANUBANK,,
245,5354216000.0,City National Bank of West Virginia,,
246,5311049000.0,Johnson Bank,50.8335441,-0.1262191
247,5276650000.0,Middlesex Savings Bank,42.3291125,-71.4355187
248,5219496000.0,Fremont Bank,37.7788142,-122.3930951
249,5176775000.0,Broadway National Bank,37.8048558,-122.2711297
250,5123509000.0,"Community Trust Bank, Inc.",,
251,5050310000.0,First American Bank,41.7200075,-87.775515
252,5044462000.0,"The Washington Trust Company, of Westerly",,
253,4988062000.0,"TBK BANK, SSB",,
254,4982174000.0,Farmers & Merchants Bank of Central California,,
255,4975192000.0,Wilson Bank and Trust,36.1559995,-85.4999331
256,4963966000.0,Choice Financial Group,,
257,4958287000.0,First Internet Bank of Indiana,,
258,4925326000.0,Old Second National Bank,41.7585877,-88.3181513
259,4878066000.0,Westamerica Bank,38.4520371,-122.7692311
260,4863199000.0,First International Bank & Trust,33.6203445,-111.9086987
261,4858195000.0,Great Southern Bank,-37.8168153,144.9584973
262,4827275000.0,The American National Bank of Texas,32.73674,-96.27765
263,4814717000.0,SmartBank,30.4155769,-87.2165181
264,4809048000.0,Mid Penn Bank,41.0267624,-78.4376381
265,4749472000.0,CFG Bank,33.973324,-6.8293154
266,4735270000.0,Brookline Bank,42.3587184,-71.0568699
267,4703588000.0,Independent Bank,32.791534,-96.7851045
268,4702210000.0,Heritage Bank of Commerce,37.5469047,-121.9726682
269,4699650000.0,Mercantile Bank,28.5412149,-81.3791548
270,4691150000.0,Green Dot Bank DBA Bonneville Bank,,
271,4668611000.0,River City Bank,38.2513217,-85.7612052
272,4660164000.0,American National Bank,41.2119969,-96.040349
273,4651018000.0,First Financial Bank,39.1391976,-84.4431146
274,4650117000.0,Orrstown Bank,40.4930753,-77.1149789
275,4642972000.0,HarborOne Bank,42.3578564,-71.0533801
276,4617041000.0,Hinsdale Bank & Trust Company,,
277,4603506000.0,Emigrant Bank,40.7139691,-74.0050766
278,4530138000.0,Alerus Financial,47.897524,-97.0674157
279,4521961000.0,The Farmers National Bank of Canfield,,
280,4512865000.0,Equity Bank,-4.3506236,15.3328616
281,4509737000.0,Northbrook Bank and Trust Company,36.6317955,-79.394823
282,4504652000.0,Morton Community Bank,40.6117973,-89.4601581
283,4471419000.0,Southern Bank and Trust Company,14.5546019,121.018642
284,4400038000.0,CTBC Bank Corp. (USA),,
285,4398517000.0,Heartland Bank and Trust Company,39.8378809,-89.6051078
286,4390641000.0,The Cape Cod Five Cents Savings Bank,41.6635847,-70.2939257
287,4384645000.0,Community Bank of Mississippi,,
288,4373262000.0,Bradesco Bank,-1.298769,-48.4877385
289,4331202000.0,Needham Bank,52.622738,0.2000524
290,4318445000.0,Peoples Security Bank and Trust Company,,
291,4301664000.0,Enterprise Bank and Trust Company,28.0116691,-82.7107681
292,4278551000.0,Southern Bank,36.8877484,-76.2955511
293,4248815000.0,Third Coast Bank,29.9433471,-93.9885308
294,4201633000.0,Carter Bank & Trust,36.0601092,-79.8812182
295,4179090000.0,Bridgewater Bank,44.9351467,-93.3367487
296,4177801000.0,Northfield Bank,40.6115912,-74.1593147
297,4159178000.0,The Canandaigua National Bank and Trust Company,,
298,4137957000.0,Dacotah Bank,43.5471322,-96.6851932
299,4133389000.0,Firstrust Savings Bank,5.6058925,-0.2470301
300,4085958000.0,InterBank,-6.8987823,-79.8407451
301,4083689000.0,First Bank & Trust,33.5224354,-101.8882393
302,4002522000.0,Vantage Bank Texas,26.1946451,-98.2310353
303,4001676000.0,Stride Bank,35.480527,-97.5144509
304,3995119000.0,Leader Bank,42.3535343,-71.046615
305,3968192000.0,Arrow Bank,43.2866687,-73.6396586
306,3910466000.0,First National Bank Texas,30.2764221,-95.4642814
307,3898869000.0,City Bank,51.711261,-1.9560392
308,3870948000.0,Texas Bank and Trust Company,29.7365442,-95.3060683
309,3860052000.0,VeraBank,32.5462339,-94.7303516
310,3849883000.0,Northpointe Bank,39.0957331,-108.599213
311,3839713000.0,Banesco USA,18.4261124,-66.057701
312,3836863000.0,Coastal Community Bank,47.9798036,-122.2080715
313,3824639000.0,Inwood National Bank,33.1926373,-97.110049
314,3814385000.0,Monet Bank,10.483637,-66.8881718
315,3787781000.0,The Fidelity Bank,19.2957305,-81.3799224
316,3758705000.0,American Business Bank,35.1348874,-106.6087374
317,3748708000.0,"Bank First, N.A.",,
318,3746260000.0,Bessemer Trust Company,,
319,3746231000.0,Five Star Bank,42.8900795,-78.8739198
320,3740581000.0,HomeTrust Bank,35.2120879,-80.8270472
321,3734545000.0,First National Bank of America,40.4394921,-80.0009447
322,3726072000.0,International Bank of Commerce,29.6883964,-95.5869734
323,3656733000.0,ChoiceOne Bank,43.1913437,-86.2689059
324,3646426000.0,Southern First Bank,32.7879995,-79.9316746
325,3585477000.0,Bank of Stockton,37.9566588,-121.2878033
326,3580147000.0,First National Bank Alaska,61.2048219,-149.8687793
327,3550393000.0,First State Community Bank,38.9079875,-92.343855
328,3506030000.0,Town Bank,38.9876126,-74.9532299
329,3494458000.0,The First Bank and Trust Company,28.5405565,-81.3792466
330,3481127000.0,Hills Bank and Trust Company,41.6598806,-91.5350114
331,3473066000.0,PeoplesBank,39.3385543,-76.5506057
332,3472637000.0,Citizens First Bank,43.5066903,-90.6686496
333,3470416000.0,Barrington Bank & Trust Company,,
334,3434961000.0,RCB Bank,35.1427879,33.3739302
335,3428956000.0,Union Savings Bank,39.9046481,-86.0677277
336,3375906000.0,Gate City Bank,46.9101488,-96.7869698
337,3360769000.0,"NATIONAL COOPERATIVE BANK, N.A.",26.6605766,87.7000286
338,3345302000.0,California Bank of Commerce,37.5469047,-121.9726682
339,3341343000.0,First Guaranty Bank,32.9128127,-96.6380463
340,3328921000.0,West Bank,44.9719278,-93.2463486
341,3328164000.0,Northeast Bank,44.9991437,-93.2689367
342,3318864000.0,Institution for Savings in Newburyport and Its Vicinity,,
343,3317286000.0,United Community Bank,3.1892015,101.7311394
344,3307886000.0,Bank of Marin,38.4390724,-122.7124988
345,3307630000.0,Carrollton Bank,38.58814,-90.2925708
346,3305747000.0,Bar Harbor Bank & Trust,42.9930662,-71.4633809
347,3300418000.0,The First National Bank of Long Island,40.6183258,-74.0303957
348,3292418000.0,Sumitomo Mitsui Trust Bank (U.S.A.) Limited,,
349,3290913000.0,Wells Fargo Bank South Central,40.7631665,-111.8800379
350,3250621000.0,Civista Bank,41.4574555,-82.7107863
351,3249246000.0,Independence Bank of Kentucky,37.7584289,-87.1429616
352,3245788000.0,First Business Bank,44.2433852,-88.4648054
353,3221855000.0,Comenity Bank,,
354,3190665000.0,Primis Bank,38.934852,-77.179627
355,3173334000.0,Wheaton Bank & Trust,,
356,3171061000.0,Royal Business Bank,40.7148225,-73.996508
357,3167827000.0,Woori America Bank,40.7477537,-73.985317
358,3159687000.0,River Bank & Trust,32.5841262,-85.4891388
359,3153301000.0,First Federal Bank,32.7995763,-79.9519523
360,3147363000.0,"Spencer Savings Bank, SLA",,
361,3141961000.0,"MashreqBank, PSC",,
362,3138508000.0,FineMark National Bank & Trust,26.2147122,-81.8013711
363,3119795000.0,First Bank,44.9405611,26.025349
364,3099264000.0,Bravera Bank,45.7547155,-108.6221942
365,3066134000.0,Frandsen Bank & Trust,44.167334,-93.9647125
366,3009233000.0,The Bank of East Asia Ltd.,,
367,2991239000.0,Commercial Bank of California,37.7830048,-122.4659625
368,2981166000.0,Sunwest Bank,43.6154383,-116.2441428
369,2977155000.0,SouthEast Bank,23.7476704,90.3706347
370,2972816000.0,Security Bank of Kansas City,39.1009513,-94.6351411
371,2967225000.0,Gulf Coast Bank and Trust Company,,
372,2951542000.0,Cache Valley Bank,41.7334606,-111.835204
373,2944704000.0,State Bank of India,8.5386859,77.0212491
374,2933294000.0,Central Bank & Trust Co.,42.9905201,-108.872395
375,2932232000.0,ENCORE BANK,30.2675672,-97.7510257
376,2931170000.0,Community West Bank,36.8115676,-119.8081004
377,2904226000.0,Capital Bank,40.6365065,-73.9907995
378,2895674000.0,The National Bank of Indianapolis,39.8434982,-86.1549339
379,2892368000.0,Banterra Bank,37.7310825,-88.9281221
380,2888396000.0,Exchange Bank,41.2611721,-96.0401116
381,2855810000.0,D. L. Evans Bank,43.6409145,-116.2373526
382,2853421000.0,Bank of the Sierra,36.8090925,-119.7760476
383,2834729000.0,Home Bank,35.8073733,51.4626553
384,2833177000.0,Red River Bank,32.3571253,-93.72431
385,2812231000.0,Parkway Bank and Trust Company,39.8378809,-89.6051078
386,2802120000.0,First Farmers Bank & Trust Co.,40.8096227,-85.8335273
387,2800884000.0,"Mizrahi Tefahot Bank, Ltd.",,
388,2795803000.0,WestStar Bank,32.3147516,-106.7431415
389,2783696000.0,Lone Star National Bank,29.5833246,-98.5356857
390,2781277000.0,Northrim Bank,61.1959131,-149.9049922
391,2774449000.0,Bank of Utah,40.7680128,-111.885763
392,2766958000.0,Metro City Bank,28.116435,-82.3788403
393,2762903000.0,Bankwell Bank,41.1397172,-73.2725143
394,2756150000.0,Macatawa Bank,42.9266894,-85.6074551
395,2754708000.0,Minnwest Bank,44.0194632,-92.4642236
396,2753444000.0,Manasquan Bank,40.5419696,-74.36186
397,2748184000.0,The Bank of Tampa,27.9517585,-82.5226264
398,2744106000.0,Celtic Bank,40.7632982,-111.8885546
399,2741612000.0,Texas Exchange Bank,27.5984224,-98.4132823
400,2723247000.0,PCB Bank,31.8936886,35.2065966
401,2716753000.0,First Carolina Bank,33.9974629,-80.9986291
402,2713846000.0,"Guaranty Bank & Trust, N.A.",5.57221,-0.2032942
403,2712374000.0,Farmers Bank & Trust Company,,
404,2712084000.0,First National Bank,40.5530732,-105.1183686
405,2708325000.0,Banco do Brasil Americas,-23.0005539,-43.3294747
406,2702939000.0,The Farmers & Merchants State Bank,,
407,2702620000.0,First Community Bank,-1.2856167,36.8223468
408,2702083000.0,First Dakota National Bank,43.5251801,-96.7733341
409,2700807000.0,Bank of Ann Arbor,42.274479,-83.7764344
410,2687587000.0,BCB Community Bank,40.5534407,-74.2817985
411,2678976000.0,Old Plank Trail Community Bank,41.4694169,-87.6370351
412,2671921000.0,The Bank of Greene County,42.0387256,-74.1126858
413,2648929000.0,Colony Bank,32.0751626,-81.0926865
414,2646230000.0,"Austin Bank, Texas",32.5263523,-94.3544988
415,2632562000.0,1st Security Bank of Washington,,
416,2607851000.0,First PREMIER Bank,43.5526896,-96.6709412
417,2607592000.0,Fidelity Bank,34.9547207,-81.9344627
418,2595775000.0,STAR Financial Bank,41.1447328,-85.1630521
419,2595215000.0,Northern Bank & Trust Company,42.5237809,-71.1036361
420,2592308000.0,West Texas National Bank,30.3587669,-103.6615641
421,2589626000.0,Hingham Institution for Savings,42.3441009,-71.0709991
422,2589465000.0,"MVB Bank, Inc",,
423,2585075000.0,Jefferson Bank,29.375631,-98.4490172
424,2567945000.0,Mascoma Bank,43.6849306,-72.270335
425,2565787000.0,Village Bank and Trust,40.8018128,-73.6468447
426,2560134000.0,Lake Ridge Bank,43.0964479,-89.5242144
427,2557926000.0,ACNB Bank,39.4143119,-77.4107335
428,2556651000.0,Oakstar Bank,37.1591083,-93.2806477
429,2549057000.0,Bristol County Savings Bank,41.9485825,-71.2785911
430,2537459000.0,ANB Bank,21.4102816,39.8675864
431,2532333000.0,First Western Trust Bank,42.8668515,-109.8587289
432,2529076000.0,The Bank of Missouri,37.1806462,-93.2501016
433,2511891000.0,Texas Regional Bank,25.9660018,-97.5046505
434,2507946000.0,First Community Bank,-1.2856167,36.8223468
435,2504392000.0,First Fidelity Bank,33.6941906,-112.0993314
436,2495027000.0,Stearns Bank,33.5815577,-111.8821603
437,2476410000.0,Habib American Bank,,
438,2474938000.0,Bank of Guam,7.0882971,171.3789741
439,2470967000.0,NEXTIER BANK,40.6323067,-79.9401734
440,2467149000.0,Bank Rhode Island,41.8314402,-71.4165503
441,2459051000.0,The Fidelity Deposit and Discount Bank,,
442,2448618000.0,Merchants Bank,49.2817958,-123.1047386
443,2437119000.0,Chemung Canal Trust Company,42.4285983,-76.5084638
444,2434989000.0,LINKBANK,40.0754455,-76.3239369
445,2434039000.0,Southern States Bank,32.616822,-85.4643403
446,2418707000.0,BayCoast Bank,41.7104417,-71.142476
447,2418384000.0,TIB,52.3813521,9.720133
448,2412290000.0,"North Shore Bank, a Co-operative Bank",,
449,2411929000.0,American First National Bank,32.709566,-97.0808817
450,2411722000.0,BankFirst Financial Services,,
451,2408609000.0,Amboy Bank,40.4945263,-74.4439773
452,2408464000.0,Pinnacle Bank,36.0776221,-86.9497436
453,2401804000.0,Academy Bank,39.099749,-94.5818595
454,2401792000.0,Cornerstone Bank,33.862802,-84.4394842
455,2397051000.0,Quad City Bank and Trust Company,,
456,2395555000.0,Libertyville Bank & Trust Company,42.2879765,-87.9547375
457,2394382000.0,Midwest BankCentre,38.5805934,-90.2400312
458,2392693000.0,National Exchange Bank and Trust,43.7884803,-88.447432
459,2392308000.0,Bank Independent,34.6495363,-86.5676292
460,2388408000.0,Guaranty Bank and Trust Company,40.3933673,-104.7554385
461,2384283000.0,Emprise Bank,39.0900829,-94.5846055
462,2383362000.0,"CB&S Bank, Inc.",,
463,2369718000.0,First Citizens Community Bank,40.7927103,-77.8614497
464,2357161000.0,Union Savings Bank,39.9046481,-86.0677277
465,2348401000.0,Investar Bank,30.3972864,-91.1141839
466,2334995000.0,State Bank of Texas,41.9974622,-87.6953772
467,2329915000.0,Westfield Bank,55.8844217,-3.0834659
468,2303482000.0,Penn Community Bank,40.3137551,-75.1046969
469,2299127000.0,Bank of New Hampshire,43.2173803,-71.4851601
470,2292810000.0,Sunrise Banks,44.9864958,-93.275786
